错误码	名称	说明
370040	GUILD_HAD_DRAW_GREAT_REWARD	已领取联盟大礼
370041	GUILD_GREAT_REWARD_EXPIRED	联盟大礼已过期
370042	GUILD_CONSTRUCT_REWARD_POINT_NOT_ENOUGH	联盟建设阶段积分不足
370043	GUILD_HERO_DISPATCH_ATTR_LIMIT	联盟大臣派遣属性上限
370050	GUILD_DUNGEON_ERR	公会副本数据错误
370051	GUILD_DUNGEON_NOT_FOUND	无法找到公会副本
370052	GUILD_DUNGEON_NOT_UNLOCK	公会副本没有解锁
370053	GUILD_DUNGEON_AUTO_TIME_ERROR	公会副本自动启动时间不符合要求
370054	GUILD_DUNGEON_NOT_START	公会副本没有开启
370055	GUILD_DUNGEON_STARTED	公会副本已开启
370056	GUILD_DUNGEON_START_FAIL	公会副本开启失败
370057	GUILD_DUNGEON_SET_LVL_FAIL	公会副本设置等级失败
370058	GUILD_DUNGEON_LVL_UPDATED	公会副本等级已变化
370059	GUILD_DUNGEON_ATTACK_FAIL	公会副本攻击失败
370060	GUILD_DUNGEON_MONSTER_NOT_FOUND	公会副本怪物不存在
370061	GUILD_DUNGEON_FIGHT_HERO_FAIL	公会副本出战大臣失败
370062	GUILD_DUNGEON_MONSTER_KILLED	公会副本怪物已击杀
370063	GUILD_DUNGEON_MONSTER_PRE_MONSTER_NOT_FOUND	公会副本怪物前置怪物不存在
370064	GUILD_DUNGEON_MONSTER_PRE_MONSTER_NOT_KILLED	公会副本怪物前置怪物未击杀
370065	GUILD_DUNGEON_NOT_RECOVER_HERO	公会副本出战大臣无需恢复
370066	GUILD_DUNGEON_RECOVER_LIMIT	公会副本恢复次数超过上限
370067	GUILD_DUNGEON_MONSTER_NOT_KILLED	公会副本怪物未击杀
370068	GUILD_DUNGEON_MONSTER_NOT_REWARD	公会副本怪物无奖励
370069	GUILD_DUNGEON_MONSTER_GAINED_REWARD	公会副本怪物已领奖
370070	GUILD_DUNGEON_REWARD_EMPTY	公会副本奖励为空
370075	GUILD_MARS_HELP_BUILDING_NOT_FOUND	公会火星求助建筑不存在
370076	GUILD_MARS_HELP_NOT_FOUND	公会火星求助目标不存在
370077	GUILD_MARS_HELP_SELF	公会火星求助自身数据
370078	GUILD_MARS_HELP_OBJ_EXISTED	公会火星求助目标已发起
370079	GUILD_MARS_HELP_OBJ_FAIL	公会火星求助目标不能求助
370080	GUILD_MARS_HELP_SEND_FAIL	公会火星求助目标发起失败
370090	GUILD_BOX_TYPE_ERR	公会宝箱类型错误
370091	GUILD_BOX_NOT_FOUND	公会宝箱不存在
370092	GUILD_BOX_NOT_REWARD	公会宝箱不存在可领取的宝箱
380001	HERO_USE_REACH_LIMIT	大臣使用次数已达上限
380002	ALREADY_BORROW_GUILD_HERO	已经借用过联盟大臣
380003	BORROW_HERO_REACH_LIMIT	借用大臣次数已达上限
380004	ALREADY_DRAW_BOX	已经领取过宝箱
380005	DRAW_BOX_REACH_LIMIT	领取宝箱次数已达上限
380006	BOX_EXPIRED	宝箱已过期
380007	BOX_EMPTY	宝箱已领取完
380008	NOT_IN_FIGHT_TIME	未在战斗时间内
390001	HERO_USE_REACH_LIMIT	大臣使用次数已达上限
390002	BOSS_DEAD	BOSS已死亡
390003	NOT_IN_FIGHT_TIME	未在战斗时间内
400001	TASK_NOT_REACH	任务未达成
400002	TASK_REWARD_HAD_DRAW	任务奖励已领取
400003	SERVER_START_DAY_NOT_REACH	服务器开服天数未达成
400004	STEP_REWARD_NOT_REACH	阶段奖励未达成
400005	STEP_REWARD_HAD_DRAW	阶段奖励已领取
410001	TILE_MATCH_SWITCH_ILLEGAL	三消交换不合法
410002	TILE_MATCH_MODE_UNLOCK_FAIL	三消模式解锁失败
410003	TILE_MATCH_STEP_REWARD_EMPTY	三消阶段奖励为空
410004	TILE_MATCH_NOT_GAME_OVER	三消未死局
420001	NO_ONGOING_COUNTDOWN_EVENT	没有进行中的倒计时事件
420002	COUNTDOWN_EVENT_RELATIVE_QUEST_NOT_FOUND	倒计时事件相关的任务不存在
420004	COUNTDOWN_EVENT_IN_TIME	倒计时事件未超时
430001	INN_MEDAL_LEVEL_MAX	旅店勋章等级已达上限
430002	INN_LEVEL_NOT_ENOUGH	旅店等级不足
430003	INN_DISH_LEVEL_REACH_MAX	旅店菜品等级已达上限
430004	INN_DISH_FINESSE_NOT_ENOUGH	旅店菜品熟练度不足
430007	INN_RECEIVE_GUEST_NOT_ENOUGH	旅店接待客人数量不足
430008	INN_STATION_ALREADY_BUILT	旅店设施已建造
430009	INN_STATION_LEVEL_REACH_MAX	旅店设施等级已达上限
430010	INN_DISH_ALREADY_UNLOCKED	旅店菜品已解锁
430011	INN_REQUIRE_STATION_NOT_EXIST	旅店设施不存在
430012	INN_DISH_UNLOCK_CONDITION_NOT_MET	旅店菜品解锁条件未满足
430013	INN_SPECIAL_GUEST_HAD_SERVE	旅店特殊客人已服务过
430014	INN_HANDBOOK_REWARD_HAD_DRAW	旅店图鉴奖励已领取
430015	INN_GUEST_NOT_BEEN_SERVE	旅店客人未被服务
430016	INN_RECEIVE_CD	旅店接待冷却中
430017	INN_NO_GUEST_CAN_RECEIVE	旅店没有可接待的客人
430018	INN_NO_DISH_CAN_RECEIVE	旅店没有可接待的菜品
430019	INN_NO_GUEST_CAN_SETTLE	旅店没有可结算的客人
430021	INN_STATION_NOT_FOUND	旅店设施未找到
430022	INN_DISH_NOT_FOUND	旅店菜品未找到
430023	INN_SPECIAL_GUEST_MUSEUM_ITEM_HAD_DRAW	旅店特殊客人博物馆物品已领取
430024	INN_GUEST_NOT_FOUND	旅店客人未找到
430025	INN_SPECIAL_GUEST_NOT_FOUND	旅店特殊客人未找到
430026	INN_DISH_RECIPE_NOT_GAINED	旅店菜品菜谱未获得
430027	INN_GUEST_HAD_UNLOCK	旅店客人已解锁
430028	INN_GUEST_UNLOCK_CONDITION_NOT_MEET	旅店客人解锁条件未满足
430029	INN_INLINE_GUEST_NUM_LIMIT	旅店队伍内客人数量已达上限
440001	MUSEUM_ITEM_ALREADY_ACTIVE	博物馆藏品已激活
440002	MUSEUM_ITEM_NOT_ACTIVE	博物馆藏品未激活
440003	MUSEUM_ITEM_NOT_FOUND	博物馆藏品未找到
440004	MUSEUM_ITEM_LEVEL_REACH_MAX	博物馆藏品等级已达上限
450001	TOWER_FLOOR_HAD_BEEN_OCCUPIED	爬塔楼层已被占领
450002	TOWER_NOT_ATTACK_FORWARD	爬塔不能向前进攻关卡
450003	TOWER_RESEARCH_ALREADY_ACTIVE	爬塔研究已激活
450004	TOWER_CHAPTER_RESEARCH_NOT_DONE	爬塔章节研究未完成
450005	TOWER_RESEARCH_NOT_FOUND	爬塔研究未找到
460001	TREASURE_HUNT_ORE_RECORD_REWARD_HAD_DRAW	太空寻宝矿石记录奖励已领取
460002	TREASURE_HUNT_ORE_RECORD_REWARD_NOT_REACHED	太空寻宝矿石记录奖励未达到
460003	TREASURE_HUNT_SKILL_HAD_ACTIVE	太空寻宝技能已激活
460004	TREASURE_HUNT_SKILL_ACTIVE_FAIL	太空寻宝技能激活失败
460005	TREASURE_HUNT_TREASURE_NO_OUTPUT	太空寻宝奇物无产出
460007	TREASURE_HUNT_CANT_DRAW_GEM	太空寻宝无法领取钻石奖励
460008	TREASURE_HUNT_NO_CAPTURE_ITEM_CAN_DRAW	太空寻宝没有可领取的捕获物品
460009	TREASURE_HUNT_CAPTURE_ITEM_NUM_REACH_LIMIT	太空寻宝捕获物品数量已达上限
460010	TREASURE_HUNT_ORE_NOT_FOUND	太空寻宝矿石不存在
460011	TREASURE_HUNT_TREASURE_NOT_FOUND	太空寻宝奇物不存在
460012	TREASURE_HUNT_SKILL_NOT_EXIST	太空寻宝技能不存在
460013	TREASURE_HUNT_COMPOSITE_NOT_FOUND	太空寻宝矿石组合不存在
460014	TREASURE_HUNT_NO_PENDING_ORE_CAN_TRANS	太空寻宝没有待转换的矿石
460015	TREASURE_HUNT_ORE_RECORD_REWARD_NOT_EXIST	太空寻宝矿石记录奖励不存在
460016	TREASURE_HUNT_PENDING_ORE_LIMIT	太空寻宝待处理矿石数量已达上限
470001	ORDER_CANT_OPERATE	订单已失效
470002	ORDER_NOT_EXIST	订单不存在
470003	NOT_SUPPORT_PAY_TYPE	不支持现金购买
470004	PURCHASE_LIMIT_REACHED	购买次数已达上限
470005	VOUCHER_NOT_ENOUGH	代金券不足
470006	RELATIVE_ACTIVITY_NOT_OPEN	礼包关联活动未开启
470007	PLAT_NOTIFY_PAY_UID_NOT_MATCH	平台回调支付用户ID不匹配
470008	CREATE_ORDER_FAILED	创建订单失败
470009	PLAT_NOTIFY_PAY_INFO_NOT_MATCH	平台回调支付信息不匹配
470010	PUSH_GIFT_TRIGGER_NOT_EXPIRED	推送礼包未过期
470011	PUSH_GIFT_TRIGGER_COOLDOWN	触发冷却中
470012	PUSH_GIFT_NOT_ACTIVE	推送礼包未激活
470013	PUSH_GIFT_CANT_AUTO_TRIGGER	推送礼包无法自动触发
470014	PUSH_GIFT_NO_NEXT_CAN_TRIGGER	推送礼包没有下一个可触发礼包
480001	PROPERTY_POINT_NOT_FOUND	属性据点不存在
480002	REWARD_POINT_NOT_FOUND	奖励据点不存在
480003	REWARD_POINT_ALREADY_DEFEATED	奖励据点已击败
480004	AREA_NOT_UNLOCKED	区域未解锁
480006	HERO_ALREADY_USED	大臣已使用
480007	HERO_NOT_USED	大臣未使用
480008	REWARD_ALREADY_DRAWN	奖励已领取
480009	REWARD_POINT_NOT_DEFEATED	奖励据点未击败
480010	PROPERTY_POINT_ALREADY_DEFEATED	属性据点已击败
500001	PARSE_ERR	解析内容错误
500002	INVALID_ZONEID_ERR	无效分区ID
500003	NOT_LATEST_ERR	不是最新数据
500004	BUILD_FILE_FAIL	生成文件失败
500005	DOWNLOAD_FAIL	下载文件失败
500006	SCHEDULE_NOT_FOUND	排期不存在
500007	SUBMIT_COUNT_TOO_LOW	版本号过低
500008	SCHEDULE_NOT_ACTIVE	排期未激活
500009	GROUP_LIST_MISMATCH	分组列表不匹配
500010	GROUP_LIST_REPEAT	分组列表重复
550001	GRAVE_RECORD_NOT_FOUND	无法找到记录
550002	GRAVE_CELE_TODAY_ERROR	今日无膜拜次数
550003	GRAVE_CONG_NOT_NEW_INFO	无可以祝贺的新晋杰出者
560001	MARS_NOT_UNLOCK	火星系统未解锁
560002	MARS_GO_ROUTE_NEXT_NOT_FIND	前往火星下一个阶段未找到
560003	MARS_GO_ROUTE_PRE_NOT_FIND	前往火星上一个阶段未找到
560004	MARS_GO_ROUTE_NEXT_ERROR	前往火星下一个阶段错误
560005	MARS_GO_ROUTE_NEXT_SECS_NOT_FULL	前往火星下一个阶段时间不足
560006	MARS_GO_ROUTE_NOT_DONE	前往火星未完成
560007	MARS_GO_ROUTE_ALREADY_SENT_STAGE_MSG	前往火星-当前阶段已发送过留言
560008	MARS_GO_ROUTE_STAGE_NOT_ALLOW_MSG	前往火星-当前阶段不允许留言
560010	MARS_PEOPLE_IMMIGRANT_NOT_START	火星居民-移民未开始
560011	MARS_PEOPLE_IMMIGRANT_NOT_END	火星居民-之前的移民未结束
560012	MARS_PEOPLE_IMMIGRANT_NUM_ERROR	火星居民-移民数量错误
560013	MARS_PEOPLE_IMMIGRANT_USED_LIMIT	火星居民-进入移民次数已满
560020	MARS_PEOPLE_INTELLIGENT_NOT_FOUND	火星居民-决策未找到
560021	MARS_PEOPLE_INTELLIGENT_NOT_UNLOCK	火星居民-决策未解锁
560022	MARS_PEOPLE_INTELLIGENT_IN_COOLING	火星居民-决策CD未结束
560030	MARS_PEOPLE_LETTER_NOT_FOUND	火星居民-信件未找到
560031	MARS_PEOPLE_LETTER_DEALED	火星居民-信件已处理
560032	MARS_PEOPLE_LETTER_NOT_DEAL	火星居民-信件不能处理
560040	MARS_PEOPLE_HELP_NOT_FOUND	火星居民-帮助未找到
560041	MARS_PEOPLE_HELP_NOT_REWARD	火星居民-不是奖励型帮助
560042	MARS_PEOPLE_HELP_NOT_CHOICE	火星居民-不是选择型帮助
560043	MARS_PEOPLE_HELP_DEALED	火星居民-帮助已处理
560044	MARS_PEOPLE_HELP_OPTION_ERROR	火星居民-选择型帮助的选项下标错误
560045	MARS_PEOPLE_IDLE_NOT_ENOUGH	火星居民-没有足够的空闲人口
560050	MARS_BUILDING_NOT_FOUND	火星建筑-未找到
560051	MARS_BUILDING_BUILT	火星建筑-已建造
560052	MARS_BUILDING_BUILD_FAIL	火星建筑-建造失败
560053	MARS_BUILDING_NOT_BUILD	火星建筑-尚未建造
560054	MARS_BUILDING_UPGRADING	火星建筑-正在创建（升级）中
560055	MARS_BUILDING_NOT_UPGRADING	火星建筑-不在创建（升级）中
560056	MARS_BUILDING_UPGRADING_NOT_END	火星建筑-未达到创建（升级）时间
560057	MARS_BUILDING_EQUIPMENT_NOT_FOUND	火星建筑-部件未找到
560058	MARS_BUILDING_DISPATCH_LIMIT	火星建筑-派遣人数超过上限
560059	MARS_BUILDING_PEOPLE_SUM_LIMIT	火星建筑-达到建筑允许的人口上限
560060	MARS_BUILDING_EQUIPMENT_LVL_LIMIT	火星建筑-部件等级到达上限
560061	MARS_BUILDING_EQUIPMENT_LVL_NOT_FULL	火星建筑-部件等级未满级
560062	MARS_BUILDING_UPGRADING_LIMIT	火星建筑-建造队列超过上限
560063	MARS_BUILDING_UPGRADE_DONE	火星建筑-已完成升级
560070	MARS_TECH_NOT_FOUND	火星科技-科技未找到
560071	MARS_TECH_PARENT_NOT_UNLOCK	火星科技-前置科技未解锁
560072	MARS_TECH_UPGRADING	火星科技-正在升级中
560073	MARS_TECH_NOT_UPGRADING	火星科技-不在升级中
560074	MARS_TECH_UPGRADING_SECS_NOT_FULL	火星科技-升级时间不够
560075	MARS_TECH_UPGRADING_LINES_FULL	火星科技-升级队列不足
560076	MARS_TECH_UPGRADE_DONE	火星科技-完成升级
560080	MARS_EXPLORE_UP_LVL_SUM_NOT_ENOUGH	火星探索-探索次数不够
560081	MARS_EXPLORE_TEAM_NOT_FOUND	火星探索队伍-队伍不存在
560082	MARS_EXPLORE_TEAM_NOT_UNLOCK	火星探索队伍-尚未解锁
560083	MARS_EXPLORE_TEAM_STATE_ERROR	火星探索队伍-队伍状态错误
560084	MARS_EXPLORE_TEAM_HERO_USED	火星探索队伍-大臣已经被使用
560085	MARS_EXPLORE_TEAM_HERO_LIMIT	火星探索队伍-大臣数量达到上限
560086	MARS_EXPLORE_TEAM_HERO_REPEAT	火星探索队伍-大臣重复使用
560087	MARS_EXPLORE_EVENT_NOT_FOUND	火星探索事件-事件不存在
560088	MARS_EXPLORE_EVENT_OCCUOIED	火星探索事件-事件已经被占据
560089	MARS_EXPLORE_TEAM_TRANS_FAIL	火星探索队伍-队伍切换状态失败
560090	MARS_EXPLORE_EVENT_TYPE_ERROR	火星探索事件-事件类型错误
560091	MARS_EXPLORE_EVENT_NOT_DONE	火星探索事件-事件未完成
560092	MARS_EXPLORE_NO_IDLE_POS	火星探索事件-没有空闲位置
560093	MARS_EXPLORE_EVENT_HAD_REWARD	火星探索事件-已领奖
560094	MARS_MINE_NOT_FOUND	火星探索-未找到火星矿
560095	MARS_MINE_EXPIRED	火星探索-火星矿已过期
560096	MARS_MINE_HAD_OCCUPIED	火星探索-火星矿已占领
560097	MARS_MINE_ATTACK_FAIL	火星探索-火星矿进攻失败
560098	MARS_MINE_RES_EMPTY	火星探索-火星矿无资源
560099	MARS_TEAM_LOSS_NOT_EMPTY	火星探索队伍-尚未修复队伍损耗
560100	MARS_TEAM_LOSS_EMPTY	火星探索队伍-队伍无损耗
560101	MARS_TEAM_NOT_OCCUPY	火星探索队伍-无占领火星矿
560102	MARS_BAG_ITEM_RED_TIME_TYPE_ERR	火星减少时间道具-道具类型不支持
560103	MARS_MINE_OTHER_PLAYER_OCCUPY	火星探索-火星矿被其他玩家占领
560104	MARS_MINE_COLLECT_SPEED_ERROR	火星探索-火星矿采集速度错误
560105	MARS_MINE_OTHER_PLAYER_FORWARD	火星探索-火星矿有其他玩家前往
560106	MARS_MINE_ALREADY_OCCUPY	火星探索-已经占有
560107	GUILD_MARS_MINE_SHARE_NOT_FOUND	火星公会分享矿-未找到分享记录
560108	MARS_MINE_ALREADY_OCCUPY_GUILD_MATE	火星探索-公会成员已占领该矿
560109	MARS_TEAM_LOSS_NUM_ERROR	火星探索队伍-准备修复的伤兵数超过当前已有的伤兵数
570001	NUM_MERGE_MODE_REF_NOT_FOUND	数字合并模式配置不存在
570002	NUM_MERGE_INVALID_MOVE	数字合并无效移动
570003	NUM_MERGE_GAME_OVER	数字合并游戏结束（死局）
570004	NUM_MERGE_ACTIVITY_NOT_FOUND	数字合并活动不存在
570005	NUM_MERGE_ACTIVITY_NOT_RUNNING	数字合并活动未开启
570006	NUM_MERGE_MODE_UNLOCK_FAIL	数字合并模式解锁失败
570007	NUM_MERGE_NOT_GAME_OVER	数字合并未死局
570008	NUM_MERGE_INVALID_BLOCK_INDEX	方块索引无效
570009	NUM_MERGE_BLOCK_EMPTY	目标位置无方块
570010	NUM_MERGE_BOX_REF_NOT_FOUND	宝箱配置不存在
570011	NUM_MERGE_BOX_SCORE_NOT_ENOUGH	宝箱积分不足
580001	NO_ACTIVE_PACK	当前没有激活的礼包
580002	PACK_EXPIRED	礼包已过期,请刷新
580003	BUY_LIMIT_EXCEEDED	购买次数超限
590001	FUND_NOT_FOUND	基金不存在
590002	ALREADY_DRAWN	已经领取过该阶段奖励
590003	LEVEL_NOT_FOUND	等级配置不存在
600001	EXCHANGE_COUNT_NOT_ENOUGH	今日兑换次数已达上限
600002	EXCHANGE_IN_PROGRESS	已有进行中的兑换
600003	EXCHANGE_TIME_NOT_REACH	未到达可领奖时间
600004	EXCHANGE_NOT_FOUND	没有兑换记录
600005	EXCHANGE_ALREADY_REWARDED	已经领取过奖励
600006	EXCHANGE_CANNOT_REFRESH	还没到刷新时间
610001	ALREADY_HAS_TARGET	已选择情人目标，不可修改
610002	NO_TARGET	未选择情人目标
610003	ALREADY_CLAIMED	情人已领取
610004	EARN_SPEED_NOT_ENOUGH	赚速不足
610005	INVALID_LOVER_ID	情人ID不在可选列表中
620001	RALLY_NOT_FOUND	集结不存在
620002	RALLY_MEMBER_EXIST	成员已在集结中
620003	RALLY_OP_DISABLE	集结操作无效
620004	RALLY_ALREADY_EXIST	集结已存在
620005	RALLY_MEMBER_FULL	集结人数已满
620006	RALLY_EXPIRED	集结已过期
620007	RALLY_TEAM_STATE_INVALID	队伍状态非法
620008	RALLY_TEAM_IN_OTHER_RALLY	队伍已在其他集结中
620009	RALLY_POWER_NOT_ENOUGH	战力不足无法加入集结
620010	RALLY_PERMISSION_DENIED	无权限执行集结操作
